id,bilendi_id,password,username,email,gruppe,link_platform,link_voting
,,2EURpNG9xa4f,tttest1,tttest11@hhu.de,1,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/ssubjects/2024-00067/&user=tttest11@hhu.de&pass=2EURpNG9xa4f,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage&user=tttest11@hhu.de&pass=2EURpNG9xa4f
,,fa8vgKnNjrgv,tttest2,tttest22@hhu.de,2,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/ssubjects/2024-00068/&user=tttest22@hhu.de&pass=fa8vgKnNjrgv,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-2&user=tttest22@hhu.de&pass=fa8vgKnNjrgv
,,sKJQyqMQ9z9U,tttest3,tttest33@hhu.de,3,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/ssubjects/2024-00069/&user=tttest33@hhu.de&pass=sKJQyqMQ9z9U,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-3&user=tttest33@hhu.de&pass=sKJQyqMQ9z9U
,,hWFnOPWfXfr5,tttest4,tttest44@hhu.de,4,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/srsubjects/2024-00070/&user=tttest44@hhu.de&pass=hWFnOPWfXfr5,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-4&user=tttest44@hhu.de&pass=hWFnOPWfXfr5
,,pSDO6XJnU3xo,tttest5,tttest55@hhu.de,5,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/srsubjects/2024-00071/&user=tttest55@hhu.de&pass=pSDO6XJnU3xo,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-5&user=tttest55@hhu.de&pass=pSDO6XJnU3xo
,,BHABr6vIMEtc,tttest6,tttest66@hhu.de,6,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/srsubjects/2024-00072/&user=tttest66@hhu.de&pass=BHABr6vIMEtc,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-6&user=tttest66@hhu.de&pass=BHABr6vIMEtc
,,h70umODajQJ0,tttest7,tttest77@hhu.de,7,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qsubjects/2024-00073/&user=tttest77@hhu.de&pass=h70umODajQJ0,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-7&user=tttest77@hhu.de&pass=h70umODajQJ0
,,xkhEKn0izVnw,tttest8,tttest88@hhu.de,8,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qsubjects/2024-00074/&user=tttest88@hhu.de&pass=xkhEKn0izVnw,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-8&user=tttest88@hhu.de&pass=xkhEKn0izVnw
,,hhXLMA8sL72H,tttest9,tttest99@hhu.de,9,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qsubjects/2024-00075/&user=tttest99@hhu.de&pass=hhXLMA8sL72H,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-9&user=tttest99@hhu.de&pass=hhXLMA8sL72H
,,CiSsTcnsdPpr,tttest10,tttest1010@hhu.de,10,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/qrsubjects/2024-00081/&user=tttest1010@hhu.de&pass=CiSsTcnsdPpr,https://discuss20.de/accounts/login/?next=/heinrich-heine-universitat-dusseldorf/projects/module/umfrage-10&user=tttest1010@hhu.de&pass=CiSsTcnsdPpr
